sentence,run_0,run_1,run_2
"אדוני היושב-ראש, אדוני השר, אני פונה אליך בנושא שמקומם את הציבור – אזרחותו של חבר הכנסת לשעבר עזמי בשארה. אני ניהלתי אתך התכתבות ארוכה מאוד, שכללה גם דיון בבית-המשפט העליון, ובסופו של התהליך – ואני מברך אותך על כך – אתה כתבת והודעת בציבור שאתה מתחיל בהליך שלילת אזרחותו של עזמי בשארה. אני לא מדבר על הפנסיה, שזה נושא נפרד. מתוקף חוק האזרחות נתונה הסמכות לשר הפנים. הנושא הזה זכה להדים ציבוריים גדולים מאוד, גם בבחירות האחרונות. אני תמה ומאוכזב שלאחר המעשה שעשית, והודעת, עדיין לא נעשו מעשים קונקרטיים לביצוע החוק עצמו. אני חושב שהנושא הזה הוא סמלי, הוא חשוב, הוא מהותי – חבר הכנסת לשעבר שנחשד בחשדות כבדים מאוד מנופף כל יום בדרכון ישראלי. אני רוצה לשמוע ממך היכן הנושא הזה עומד מבחינת שלילת האזרחות של עזמי בשארה.",5.0,5.0,5.0
"אדוני השר, ראשית, אני מברך על עמדתך בדבר חשיבות התפקיד של המשרד שבראשו אתה עומד. בעבר, תמיד, כל מי שקיבל את התפקיד, לא קיבל את זה בנפש חפצה, אבל עכשיו אני מקווה שזה ישתנה. שתי שאלות שקשורות למפוני גוש-קטיף. קודם כול, זה עוול גדול מאוד שהממשלה – שידעה לפנות יהודים מבתיהם ביעילות רבה מאוד, במבצע צבאי מצוין – נכשלה בטיפול במפונים-מגורשים, ועד היום הם חיים כפליטים בקרבנו, והגיעו להיות תחת חסדו של משרד הרווחה. דוח מבקר המדינה עסק בנושא ונתן מחמאות למשרד. שתי שאלות לגבי הדוח. ראשית, יש בעיה, שמשפחות המפונים לא רוצות להסתייע בשירותי הרווחה בגלל תיוג שלהם כמקרה רווחה. המבקר כתב שנתתם מענה חלקי בכך שכתבתם שהם לא פותחים תיק רווחה – –

– – אבל הם מקבלים תיוג כלשהו.

אבל עדיין, כתוב בדוח המבקר שהם לא מקבלים סיוע מכיוון שהמשרד – נכון עד לפברואר 2008 – לא פתר את העניין הטכני של לתת סיוע בלי לפתוח תיק רווחה. הנושא השני קשור לאותה סוגיה, לגבי מינהלת סל""ע – שהיום מדברים על פירוקה. אני רוצה לדעת מה עמדת משרד הרווחה לגבי פירוק מינהלת סל""ע.",5.0,8.0,6.0
"אדוני היושב-ראש, כנסת נכבדה, אדוני היושב-ראש, ראשית ברצוני להודות לך על היוזמה לאפשר לחברי הכנסת החדשים לשאת דברים לפני הכנסת. נכון, אומנם מדובר רק בחמש דקות, אבל זה זמן ראוי. מה שלא נאמר על הדוכן בחמש דקות לא נאמר גם בשעה. ברשותך, אני אציג בפני הכנסת והציבור את כוונותי ועקרונותי בכנסת הקרובה. הרעיון הנשגב שמניע אותי והביא אותי עד הלום מתמצה במלה אחת בודדה ופשוטה, ושמה: ציונות. זה הרעיון שאותו אני מתכוון לקדם במלוא המרץ במהלך הכנסת הקרובה, רעיון שהפך למציאות בזכות פועלו של נביא הציונות, חוזה הציונות, בנימין זאב הרצל, שתמונתו מתנוססת בגאווה על הקיר מאחורי. ציונות – שהביאה את סבי, נסים דנון זכרו לברכה, לעלות ארצה עם אשתו וילדיו, להגיע למעברת שער-העלייה, ולמרות כל הקשיים לומר בכל יום תפילה ולהודות על כך שזכה לקחת חלק בתקומת העם היהודי בארץ-ישראל. ציונות – שאותה ספגתי בבית אבי, יוסף דנון זכרו לברכה, שפציעתו האנושה במהלך מרדף בבקעה רק הגבירה את אהבתו ומסירותו למולדת. ציונות – המבוססת על הכרת הארץ, אהבת הארץ וחיזוק הגאווה הלאומית. כמי שפעל שנים רבות בסוכנות היהודית, בתנועת בית""ר, לחינוך לציונות ולחיזוק הקשר בין העם היהודי לארץ-ישראל, ברור לי לחלוטין שאהבת הארץ אינה עוברת בירושה. עדיין לא פוענחו הגן והקוד הגנטי שמעבירים את הציונות לדור הבא. הקניית ערכים לאומיים-ציוניים לדור העתיד היא הפרויקט הלאומי החשוב ביותר. נכון, יש לנו אתגרים כלכליים, ביטחוניים, נדון בהם, נתווכח עליהם – אבל ללא דור עתיד צעיר שמאמין בזכותו של העם היהודי בארץ-ישראל לא נצליח בשום אתגר שיעמוד בפנינו. לכן, אני מתכוון בכנסת הקרובה לפעול ולהתמקד בנושא חשוב זה, לחיזוק משמעותי של הפן הציוני במערכת החינוך. לא ייתכן שמרבית בני-הנוער החילונים – לא הדתיים-הלאומיים אלא החילונים – לא יגיעו לירושלים עד אשר הם יתגייסו לצבא-הגנה לישראל; לא ייתכן שתולדות עם ישראל, תולדות הציונות, יילמדו באיזו מסגרת מצומצמת מאוד לבגרות, ובסופו של יום התלמידים שמתגייסים לצבא – או לא מתגייסים – לא יבינו מושגי יסוד בציונות; לא ייתכן שסמלי המדינה שעליהם גדלנו יהפכו לכלי ריק וחסר משמעות. אני מאמין שניתן, אני מאמין שאפשר וצריך לשנות. זוהי עבודה קשה. צריך, בצורה מקצועית, לרענן ולהעביר את הציונות לדור הבא. כל מי שלמד את תולדות הציונות זוכר שהמחלוקות הפוליטיות הקיימות בבית הזה היו תמיד. גם היום עדיין קיימות שתי אסכולות מרכזיות לגבי הדרך להגיע לשלום ולביטחון. קיימת התפיסה הפשרנית, המאמינה שעל-ידי ויתורים, נסיגות, ויתור על ריבונות בירושלים – נגיע לשלום ולביטחון. מנגד, התפיסה של המחנה הלאומי, שאני נמנה עמו, מאמינה בקיומו של ""קיר הברזל"", שטבע זאב ז'בוטינסקי. ""קיר הברזל"", דהיינו כוח עמידה מוסרי, צבאי ולאומי. לפני 16 שנה נחתמו הסכמי אוסלו, שאושרו גם בבית זה. מיום חתימת הסכמי אוסלו ועד היום כל ניסיון פשרה, כל התקפלות מדינית, הובילו לפגיעה במדינת ישראל. רק לפני שלוש שנים וחצי – לאחר הצבעה דמוקרטית, אומנם, בכנסת זו – פונו מבתיהם 9,000 יהודים, אזרחים ישראלים. נהרסו 22 יישובים בגוש-קטיף וארבעה יישובים בצפון השומרון. צעד דרמטי זה נועד – והכוונה של מי שהוביל אותו היתה – לשפר את המצב הביטחוני ולשפר את התדמית של ישראל בעולם. בפועל, מה קיבלנו? איפה אנחנו נמצאים היום? מבחינת המשפחות, הם חיים כפליטים בקרבנו עד עצם היום הזה. מבחינה ביטחונית, טילים עדיין נופלים במרכזי אוכלוסין – באשדוד, באשקלון וביבנה. מבחינת התדמית הבין-לאומית, אחרי המבצע האחרון התדמית רק נפגעה. בכנסת הקרובה אני מתכוון לפעול בצורה נחושה לחיזוק ההתיישבות בארץ-ישראל, לחיזוק מעמדה של ירושלים כבירתו המאוחדת של עם ישראל ולסיוע אמיתי ומהיר למפונים שחיים בקרבנו ומשלמים יום-יום, שעה-שעה, על הטעויות של ממשלות ישראל בעבר. בשנת 1901 כתב זאב הרצל ביומנו: ""כאשר תקום פעם מדינת היהודים, ייראה הכול זעיר ומובן מעצמו. אך אולי ימצא היסטוריון ישר, שבכל זאת היה זה דבר-מה, כאשר עיתונאי יהודי מחוסר אמצעים, ובמצב השפלות העמוק ביותר של עם ישראל, בימי האנטישמיות המזוהמת ביותר, הפך סמרטוט לדגל ואספסוף ירוד לעם, המגן על הדגל הזה בקומה זקופה"". אני מאמין שגם היום על כולנו לפעול במושגים של ציונות יומיומית, ציונות של פעולות קטנות המשפיעות על המכלול; ציונות של מתנדבי שנת שירות, ציונות של מורים, ציונות של הורים, ציונות שלנו, אישי הציבור, בראש ובראשונה, שצריכים להבין שבעבודה קטנה וסיזיפית מביאים את השינוי – פה ובוועדות הכנסת, בנאומים קצרים וארוכים, בהתוויית דרך על-ידי פעילות רצופה, יומיומית, לחיזוק הציונות. לסיום, הרשו לי לצטט מהשיר ""הנדר"" אשר כתב ראש בית""ר, זאב ז'בוטינסקי: ""גיוס:/ ביום שירות אני כמוט נחושת, / כגוש ברזל ביד נפח ושמו ציון. / חרשני כרצונך – מגל, גלגל, חרושת / או חרב ופגיון"".",10.0,10.0,10.0
"אדוני השר, חלק מהתפקיד שהיית אמון עליו זה טיפול ביישובי הקבע למפוני גוש-קטיף וצפון השומרון. ואני תמה על כך ששלוש שנים וחצי לאחר שבצורה יעילה פונו מבתיהם כ-9,000 אזרחים ישראלים, עד היום – שלוש שנים וחצי – אפילו קהילה אחת לא עברה ליישוב קבע. בדוח שהגשת בפנינו מצוינות כל הבעיות וכל הסיבות – אם עניין של תב""עות, ואם עניין של חיבור תשתיות, או עניין של מימון. אבל בסופו של דבר, גם אין הפרדה בין קהילות ששיתפו פעולה והתפנו מרצון, והובטח להן על-ידי ממשלת ישראל שבתוך זמן קצוב הן יזכו ליישוב קבע. עד עצם היום הזה אף קהילה לא שוכנה, אף משפחה לא עברה לבית קבע. ראיתי את המאמצים שנעשו – – –

אז אני מדבר, ונמצאים גם פה נציגים של המפונים שמסתובבים במשכן, ואני אשמח לקבל את תגובתך. השאלה שלי – מה עשית, או מה המשרד עשה או הממשלה עשתה, כדי שבעוד שלוש שנים וחצי או ארבע שנים וחצי כששר השיכון יעמוד ויסכם את הקדנציה שלו לא יהיו משפחות מהעקורים שלא עברו ליישובי הקבע?",5.0,5.0,6.0
"אדוני היושב-ראש, אדוני השר, הצטערתי לראות שלפני כמה שבועות הצטרפה ישראל לרשימה של מדינות אקזוטיות-מה, כמו זימבבואה, גינאה, איי סיישל ועוד רשימה ארוכה, שהמשותף להן הוא דירוג בטיחות הטיסה. ההחלטה הזאת, שבעצם הורידה את דירוג רמת הבטיחות של ישראל מקטגוריה א' לקטגוריה ב', יש לה השלכות רבות מאוד. אני יודע שהמשרד שאתה עומד בראשו טיפל בזה, ויש חוק שטיפל בנושא בשנת 2005, אבל בפועל היום המצב הוא – קודם כול במישור הביטחון של הטסים בשמי ארץ-ישראל, לפי בדיקות שנעשו, אנחנו מדורגים בתחתית הדירוג. זה מטריד אותי קודם כול כמי שלאחרונה לא טס הרבה, אבל אמון על ביטחונם של אזרחי ישראל, שנית, בגלל הדימוי של מדינת ישראל, שנפגע בעקבות הירידה בדירוג, ושלישית, יש פה פגיעה כלכלית קשה, הן בכניסת תיירים למדינה והן פגיעה במוביל הלאומי, ""אל על"", כי יהיו השלכות על טיסות ""אל על"" ליעדים אחרים עקב הורדת הדירוג. אני רוצה לקבל בבקשה תשובה – ראשית, למה הגענו למצב שבו אנחנו נמצאים בקטגוריה אחת עם זימבבואה ועם גינאה, ושנית, מה נעשה כדי לתקן את זה מייד.",5.0,5.0,5.0
"לשמור על הזכויות זה לא לדכא.

הם צריכים לעזוב את המשרדים שלהם.

זה לא סותר. כרגע נושא הדיון הוא – – –

זאת הצעה שהגיעה מיושב-ראש ועדת החוץ והביטחון.

זאת עמדת הסיעה שלכם, שלמה?

איך נעצרו אנשים באירוע תרבות?

איך נעצרו אנשים באירוע תרבות? באירועי תרבות שאני הולך אליהם לא נעצרים אנשים על-ידי משטרת ישראל.",5.0,5.0,5.0
יש לי הצעה לסדר. 34 שרים זה – – –,5.0,5.0,5.0
"אדוני היושב-ראש, הגיע השר יוסי פלד, ומכיוון שהגיע אלוף פיקוד צפון, אני אפתח במצביא אחר, בנפוליאון. נפוליאון בונפרטה, במכתב לאשתו, כתב שהכוח של הצבא הצרפתי לנצח הוא באמונה במטרה הצודקת. אנחנו במצב שונה. ""עופרת יצוקה"" לא היתה מסע כיבוש של נפוליאון בונפרטה לאדמות גרמניה או בלגיה. זה היה מבצע הגנה מוצדק. פה במליאה יש שני סוגים של פוסט-ציונים. יש פוסט-ציונים שבאים ואומרים: המבצע לא צודק. המטרה לא צודקת. שמעתי את זה מחברי חברי הכנסת זחאלקה ואחרים, שהם מיעוט שבמיעוט אבל הם אומרים זאת פה: המטרה לא צודקת. זה שירו ""קסאמים"" על שדרות ועל אשקלון מדי יום לאחר שגירשנו יהודים מבתיהם למען שלום, זה לא צודק. זאת גישה אחת. יש גישה שנייה, של פוסט-ציונים מהשמאל הקיצוני, שאומרים: בוא נערער על המוסר של המלחמה. בוא נערער על הביטחון העצמי. ופה אני אומר לחברי: אל לנו להתנצל. אל לנו לנסות לערער את הביטחון של הנוער בגישה הפוסט-ציונית שאומרת שאין לנו זכות לחיות פה, אין לנו זכות להתגונן. זה מה שקרה במכינה. חבר הכנסת אורון לא נמצא פה, אבל הוא דיבר על דיון ערכי. זה לא דיון ערכי, שבאים ומשקרים ומנסים להחדיר בלבבות של הנוער מושגים של שקר כדי לערער את האמונה בצדקת דרכנו בארץ-ישראל. אני רוצה, ברשותך, לצטט את ראש בית""ר, זאב ז'בוטינסקי, שטבע מושג חשוב מאוד, שנקרא ""קיר הברזל"". ב""קיר הברזל"" זאב ז'בוטינסקי לא דיבר על בטון; הוא לא אמר לשים מלט על גגות שדרות ואשקלון, כי כמה שנשים מלט וגדרות זה לא יעזור. קיר הברזל הוא קיר ברזל של אמונה אמיתית בצדקת דרכנו, שכל ילד שמתגייס לצבא – במכינת רבין, במכינות דתיות או חילוניות – כל מי שמתגייס, יאמר: אני פה משרת, אני אבן בבניין היישוב היהודי בארץ-ישראל. את קיר הברזל הזה מנסים גורמים פוסט-ציוניים שנמצאים בקרבנו, גם במערכת החינוך – אפילו באוניברסיטת תל-אביב לא רצו לתת למרצה לבוא לדבר. אתם יודעים למה? כי אותה מרצה היתה במחלקה הבין-לאומית בצבא. שבוע לפני זה, באותה אוניברסיטת תל-אביב, אתם יודעים מי הגיע לדבר? השיח' ראאד סלאח, בכבודו ובעצמו. אף אחד לא פצה את פיו. אבל קצינה בצה""ל, אלוף-משנה – אומרים לה: אל תבואי לדבר במוסד אקדמי – שמקבל מימון מהמדינה – והשיח' ראאד סלאח, שמטיף נגד אושיות המדינה, מקובל בברכה. לכן אני בא ואומר מפה – אנחנו, הממשלה והקואליציה, ניאבק בגישה הפוסט-ציונית, לא ניתן לה להרים את הראש, ונעביר מסר חד לנוער במכינות, בבתי-הספר, ולכל המתגייסים: אנחנו צודקים, הצדק נמצא עמנו, ואם צריך להילחם, נילחם על כך.

אולי הוא ראה את התמונות של ה""חמאס"" – – –

זה בדיוק מה שה""חמאס"" עושה שבע שנים. ה""חמאס"" עושה מה שאתה קורא. זה טרור.

אם ציפי לבני היתה, היא היתה שרה בלי תיק.

ממשלת קדימה יצאה ל""עופרת יצוקה"", חבר הכנסת מולה.",10.0,10.0,10.0
"שמעתי שכיושב-ראש ועדת הכנסת שמרת על זה היטב.

זה כבוד רב להיות פה חבר כנסת, בר-און.

יש ייעוץ משפטי לכנסת, ועם כל הכבוד למורשת בר-און, היא זאת שתקבע.

חבר'ה, הוא לא יכול להשתלט על הדיון.

לא, אדוני היושב-ראש, הוא לא מנהל את הדיון פה. הוא לא יכול להשתלט.

הוא לא יכול להשתלט פה על הדיון.

אתם מתנגדים לזה או תומכים בזה?

יש משהו טוב, שתומכים במשהו.

אדוני היושב-ראש, זכותו לאפשר לו לפי התקנון.

אדוני היושב-ראש, הדיון הוא לא על מסכות האב""כ.

גם בשלטון קדימה זו היתה אותה עלות.

בדעות הם לא רחוקים, ועכשיו גם בעבודה הפרלמנטרית.

גם אחדות אידיאולוגית, אין פה קצוות.",5.0,5.0,5.0
"יש לך בעיה עם נציג בן-מיעוטים שהוא סגן שר בממשלה?

אדוני היושב-ראש, כנסת נכבדה, חברים יקרים מהאופוזיציה והקואליציה, אולי זה נאיבי, אבל אני כן אציע לחברי מהאופוזיציה לבחור את הנושאים שעליהם הם רוצים לבוא ולהתעמת ולהתווכח. אפשר כל נושא שיבוא מצד הממשלה להביא לפה, לדבר, לדון ולהתווכח, אבל אם אתם רוצים באמת להיבנות כאופוזיציה עניינית ואמיתית, תבחרו את הנושאים האמיתיים, שיהיה דיון אמיתי, מעמיק. מה שקורה פה היום זה דיון לשם כלום, דיון לשם דיון. מכיוון שהנושא הגיע – – –

תיכף אני אענה לך, כי בתשובות שאני אתן לך אתם תבינו – – –

תיכף אני אסביר לחברי מדוע הנושא שבחרתם הוא לא הנושא הנכון כדי לנסות ולנגח את הממשלה, כי מי שגר בבית מזכוכית, שלא יזרוק אבנים. זה מה שאתם עושים פה היום, וכרגע אין רופאים במליאה. יש לנו במשכן כמה רופאים – חבר הכנסת אלדד, חבר הכנסת טיבי – הם לא אתנו פה, אבל אולי נקרא להם – – –

יפה. אני חושב שכל רופא היה אולי מסייע קצת בנושא בעיית הזיכרון של חברי האופוזיציה, בעיית זיכרון קלה, אבל יכול להיות שהיא תיהפך לקשה.

ארבעה. אני אתחיל בכך שהיום אנחנו מציינים כחודשיים למושב הכנסת. הסתכלתי מה קרה חודשיים אחרי שאהוד אולמרט היה ראש ממשלה, מה היה בבניין פה. אז אל הדוכן הזה שאני עומד עליו בא ראש הממשלה אהוד אולמרט, ומה הוא עשה? האם הוא הקים משרדים לעניינים אסטרטגיים? האם הוא הקים צוותי חשיבה? לא. הוא הודיע בצורה נחרצת וחזקה על יציאה למלחמה, מלחמה שאפשר לומר בלשון המעטה שלא היתה הצלחה גדולה. ומי שלא מסכים אתי, אני מפנה אותו – – –

מי שלא מסכים אתי אני מפנה אותו לדוח-וינוגרד, שיקרא בו על תהליך קבלת ההחלטות של ממשלת אולמרט לפני היציאה למלחמת לבנון ובמהלך המלחמה.

אפשר לצטט משם את תגובתה של יושבת-ראש האופוזיציה דהיום – היא לא אתנו כרגע פה במליאה – ומה היא אמרה במהלך ישיבות הממשלה, וללמוד שאולי, אולי לא צריך למהר, אולי החלטת ראש הממשלה על הקמת משרד לענייני מודיעין ונושאים אסטרטגיים יש בה גם משום שכל, אולי זה יתרום – –

– – לכך שחברי, במעמד הזה של חודשיים – חודשיים – אחרי ממשלת אולמרט, שיצא בצורה נחפזת למלחמה – – –

אני רוצה לומר משהו. אולי בהגינותכם תסתכלו על האישים שמונו לתפקידים? מדברים פה על מינויים פוליטיים, אז בואו ניכנס, בואו נדון על האישים. הרמטכ""ל לשעבר – –

– – השר בוגי יעלון, שכל מפלגה בישראל היתה גאה שהוא נמנה עם חבריה, וכל ממשלה בישראל היתה גאה שהוא מייצג אותה בנושאים ביטחוניים. אז הוא לא מתאים להיות שר לעניינים אסטרטגיים? סליחה, אם אני זוכר נכון, ההחלטה על הקמת המשרד היתה של ראש הממשלה אהוד אולמרט, אחרי מלחמת לבנון.

סליחה, אבל ההחלטה על הקמת המשרד נולדה בממשלת אולמרט אחרי מלחמת לבנון, והשר לעניינים אסטרטגיים היה השר אביגדור ליברמן בממשלת אולמרט. אז עכשיו התחלפה הממשלה ופתאום המשרד הזה הוא לא חשוב – – –

תודה, אדוני היושב-ראש. לכן, אני חושב שביחס לשר יעלון קשה לבוא ולחלוק על ניסיונו, על יכולתו לתרום למדינת ישראל ולביטחונה. ומה לגבי השר דן מרידור? האם גם עליו, על ניסיונו העשיר כשר בממשלות ישראל, כמזכיר הממשלה, וכל מה שהוא עשה, אפשר לבוא ולומר שהוא לא מתאים להיות שר לענייני מודיעין? או אולי על חברנו יולי יואל אדלשטיין, שגם לו יש ניסיון רב כשר העלייה והקליטה והוא חבר כנסת ותיק – לשמש כשר לענייני הסברה? לכן אני חושב שהקריאה שלכם היום לנגח בשביל לנגח, טעות היא. טעות היא, כי הציבור בישראל רוצה לתת לממשלה, בצורה צודקת, אפשרות אמיתית להוכיח את עצמה. ומה שאתם עושים היום, לפני שבכלל התקבלה החלטה, אתם קופצים על כל דבר. אין לנו שום בעיה, אנחנו מליאה של פרלמנט, הבסיס פה הוא לדבר, אבל אני מציע שנבחר את הנושאים שאנחנו רוצים לדבר עליהם. ובואו קצת נתעסק בענייני זיכרון – כל הנושא של שרים בלי תיק וגודל הממשלה. זה מאוד מאוד פופולרי לבוא ולצעוק שר בלי תיק ושר בלי תיק, כמו ידידי חבר הכנסת פלסנר ואחרים מדי מליאה. אז בואו אני אזכיר לכם שהיתה ממשלה של אהוד אולמרט שהיו בה שרים בלי תיק, חלקם יושבים במליאה.

השר יעקב אדרי מונה לממשלה כשר בלי תיק. השר גאלב מג'אדלה מונה כשר בלי תיק. השרה רוחמה אברהם-בלילא מונתה כשרה בלי תיק. השר עמי אילון מונה כשר בלי תיק. השר איתן כבל, שיושב אתנו, גם מונה בתחילת הממשלה כשר בלי תיק. לכן הנושא הזה לא נברא – –

– – במוחו של ראש הממשלה במחשכים, כמו שאתם מציגים את זה. זה דבר שהיה בעבר, יהיה בעתיד, ואני חושב שכשאנחנו מסתכלים היום על האנשים שממונים לתפקיד ועל הסמכויות שניתנות להם – ואתם תראו, צריכים קצת לעשות חשבון בעצמכם, כאזרחים וכמנהיגים, האם אותם אנשים שממונים זה טוב למדינת ישראל או רע למדינת ישראל. אני חוזר ואומר שמה שאתם עושים היום, מנסים לקחת נושא טכני של הקמת משרדים – – –

סליחה, כשהשרה ציפי לבני היתה שרה ללא תיק בממשלת שרון, אתה יכול לומר לי מה היתה העלות התקציבית של המשרד שלה? כמה עלו העוזרים שלה וכמה עלו כל מי שאתם אומרים? תביאו את הנתונים. היא היתה שרה ללא תיק בממשלת שרון, השרה ציפי לבני, היום חברת הכנסת ויושבת-ראש האופוזיציה.

לכן, אם אתם רוצים לבוא ולהתעסק בקטנות – – –

אם אתם רוצים, חברי, לבוא ולהתעסק בקטנות, נתעסק בקטנות. כל נושא שתעלו למטרות ניגוח, אנחנו ניכנס – יש לנו בכנסת מחלקת מחקר ומידע טובה – למחשבים, ונוציא את ההתנהלות של ממשלת אולמרט, ממשלת שרון. ואני מציע לכם, לפני שאתם באים לנגח אותנו, תחסכו את זה ממני, תעשו את זה בעצמכם ותחליטו: בנושא הזה התנהלנו בצורה שונה? אז בואו נתקוף את הקואליציה, בואו נוביל מאבק ציבורי, יש פה נושא חשוב, תהיה לנו בעיה. אבל, אם אתם בתוככם – אין לכם על מה להלין, ואני מוכן לקחת כל משרד ממשלתי שהיה בו שר בלי תיק בממשלת אולמרט האחרונה ולהשוות כמה הוא עלה וכמה תקנים היו, ושמעתי פה את כל ההשמצות שלכם. נשווה משרד למשרד. תבחרו את הנושאים שעליהם אתם רוצים להתעמת, ואני חושב שלטובת הציבור, לטובת הכנסת, יהיו לנו דיונים פוריים, ולא שנבוא ונדון בדברי הימים, מה היה בממשלת אולמרט וממשלת שרון לעומת ממשלת נתניהו. לסיכום, אדוני היושב-ראש, אני חושב שהיום אנחנו נקבל את דוח המבקר ונקרא אותו. דוח המבקר הזה התייחס – – –

אני מניח שהוא יוצג לכבודו בשעה 14:00.

אני ממליץ בחום לקרוא את דוח המבקר. הוא לא מתייחס לממשלת נתניהו השנייה, בל נטעה. הוא מתייחס לממשלה הקודמת. דרך אגב, הצטרף אלינו ידידי, חבר הכנסת יואל חסון. כיושב-ראש הוועדה לביקורת המדינה תהיה לו הרבה מאוד עבודה לנתח את הדוח ולראות את המחדלים של המשרדים השונים – –

– – של הממשלה הקודמת. ולכן, אני חושב שטוב יהיה לכולנו, אם אתם באים לתקוף את ממשלת ישראל ואת ראש הממשלה ואת השרים הנבחרים, שתסתכלו היטב פנימה אצלכם בבית, תקראו את דוח המבקר. אנחנו מתכוונים לקרוא אותו, להפנים את הלקחים וליישם אותם במשרדים השונים בממשלה, ואני חושב שאנחנו יכולים להיות גאים היום בהחלטה של ממשלת ישראל על מינוים של השר יעלון, השר מרידור והשר יולי אדלשטיין. תודה רבה, אדוני היושב-ראש.",5.0,5.0,5.0
