Id,Text,RelevanceScore
122535,"גם בתמרה, לא רק ב""קניאל"".",2
122601,"כשמדובר בערבים, זו סכנת חיים.

בשום מדינה בעולם לא הורסים בתים.",5
122716,"אדוני היושב-ראש, חברי חברי הכנסת, אני בחרתי לייחד את הנאום הראשון שלי בכנסת לנושא שקרוב ללבי במיוחד, והוא המאבק לשוויון בין המינים, שאני רואה בו חלק מהמאבק לזכויות האדם. ציינה את זה קודם חברת הכנסת יעל דיין - על-פי נתוני מינהל הכנסות המדינה שפורסמו בשבוע שעבר, שכר הנשים במדינת ישראל הוא מחצית משכר הגברים. בינואר האחרון היתה הכנסתם ברוטו של גברים גבוהה פי 1.9 מהכנסתן של נשים. מתברר, אדוני היושב-ראש, שיש אפליה, אפליה על בסיס של מין, שהקורבן האולטימטיבי שלה - ומה חדש בזה - הוא הנשים במדינת ישראל, המהוות מחצית מן האוכלוסייה ומחצית מכוח העבודה. ונשים בפריפריה מרוויחות עוד פחות, שלא לדבר על נשים במגזר הערבי שמרוויחות עוד פחות. ואי-אפשר בלי להזכיר, שלמעלה מ=%70 ממקבלי שכר המינימום הם נשים, ונשים רבות אף מרוויחות מתחת לשכר המינימום. חברי חברי הכנסת, מדובר כאן בנשים שלכם, באמהות שלכם ובבנות שלכם, שנוהגים להתייחס אליהן בדרך כלל כמפרנסות שניות. במקומות העבודה הן מרוויחות מחצית משכר הגברים ומעריכים את העיסוקים שלהן, המוגדרים נשיים, כפחותי ערך בהשוואה לאלה המוגדרים גבריים. ובעיקר, חברי, הן לא מצליחות להגיע אל מוקדי הכוח והכסף, הן לא מצליחות לפרוץ את ""תקרת הזכוכית"". חברותי וחברי, אני אומרת לכם שהאפליה הזאת היא חמורה ובלתי נסבלת. אנחנו מלינות על כך שנשים מופלות בתחומים רבים, ולא בכולם אפשר לטפל ברמה הלאומית והחקיקתית. אבל בלי עצמאות כלכלית, איך אפשר בכלל לדבר על שוויון? איך במקומות העבודה עוד לא הפנימו שעקרון השוויון בין המינים הוא חלק בלתי נפרד מעקרון השוויון בין בני האדם? חברי חברי הכנסת, השכר הנמוך והמשפיל של הנשים אינו כורח המציאות. לא בשמים היא, כפי שנאמר במדרש, בא לומר: הכול מעשי ידי אדם. הכול הוא תוצאה של אפליה ישירה וגלויה, וגם של אפליה סמויה, הפועלת לרעתן של נשים בשוק העבודה, מנציחה ומשכפלת את מצבן. אני רוצה להבהיר, שלא מדובר כאן רק בעוול מוסרי; מדובר כאן בנטל כלכלי וחברתי, שנובע מכך שנשים מרוכזות ברמות השכר הנמוכות בכל מקצוע ובכל ענפי המשק. ואני שואלת: איך, למרות החקיקה המתקדמת והנאורה, החקיקה שקובעת שוויון רשמי בשכרם של נשים וגברים בעלי דירוג שווה בעבודה, למרות חוק שירות המדינה (מינויים), למרות חוק שכר שווה לעובדת ולעובד, איך למרות כל זאת נשים ישראליות רחוקות משוויון בשכרן וממשיכות להרוויח כמחצית משכר הגברים? אילו אכפו את החוקים, הדבר הזה היה עוזר בהשגת השוויון בין שכר הגברים לשכר הנשים ברבדים השונים של העובדים, אבל בינתיים, לצערי, אנחנו רחוקים מאכיפת החוקים בכל מקומות העבודה, וכך ממשיכה להתקיים לה לאור היום אפליה גלויה, שבה נשים בישראל של שנות האלפיים ממשיכות לקבל יחס של אזרחיות סוג ב'. חברי הכנסת, כדי שהמאבק נגד האפליה יצליח, יש לחשוף את המנגנונים הגלויים והסמויים של האפליה הזאת. אז כל עוד מדובר באפליה מכוונת וגלויה - צריך להמשיך ולהיאבק על-ידי אכיפת החקיקה, ואולי על-ידי חקיקת חוקים נוספים. אבל אם, כפי שמתברר, מדובר גם באפליה שמתקיימת בתנאים שאמורים להיות משוחררים מכוונת אפליה - יש חשיבות רבה ביותר לדיון ולניתוח סטטיסטיקות, שמתפרסמות על-ידי מינהל הכנסות המדינה, לצורך מאבק במדיניות הממשלתית הלוקה בחסר, באפליה בשכר ובנורמות המסורתיות המגבילות נשים. בתנאים המעודדים פערים כלכליים ההולכים ומתרחבים אין לצפות, חברי חברי הכנסת, כי עמדת הנחיתות הכלכלית של נשים תיפתר מעצמה, ולכן יש צורך בגיבוש מדיניות של חינוך, למשל הפעלת יום לימודים ארוך; יש צורך בגיבוש מדיניות של רווחה ומיסוי, למשל להכיר בהוצאות הכרוכות בטיפול בילדים ובמשק הבית לצורכי מס; יש צורך בגיבוש מדיניות של הסברה והגברת מודעות לנשיאה שוויונית באחריות המשפחתית כך שגברים ונשים כאחד יוכלו לצאת לעבודה ולחלק ביניהם את התפקידים בענייני פרנסה ובטיפול בבית ובילדים. לסיום דברי, אדוני היושב-ראש, אני קוראת לבית החשוב הזה להתייחס לאפליית הנשים באותה מידת החשיבות שניתנת, למשל, לענייני ביטחון. אני בטוחה שאף אחד מחברי הכנסת לא יכול להצדיק את זה שנשים מרוויחות פחות רק משום שהן נשים. ולכן הדרישה לשוויון בין המינים, לחברה צודקת והוגנת, אינה יכולה להיות אינטרס של נשים בלבד, אלא היא אינטרס של כלל החברה.",1
122881,"אדוני היושב-ראש, כנסת נכבדה, תיארת בכאב איך קיפדו את חייהם בני משפחה שלמה או כמעט משפחה שלמה וגם אחרים בצפון הארץ בתחילת השבוע. הקטל הנורא הזה אינו מבחין בין יהודים לערבים, בין דתיים לחילונים ובין נשים לגברים. כולם היו בניו. אנחנו עומדים חסרי אונים לנוכח הזוועה. ברגע אחד, משפחה שלמה שהיתה איננה עוד. יש פצועים רבים, שהפגיעה הפיזית והנפשית תלווה אותם ואת בני משפחותיהם לאורך זמן, ויש גם הנהגים המעורבים בתאונה, שהם נפגעים בעצמם, הם ומשפחותיהם, לאורך כל ימי חייהם. קודם הבאנו כאן נתונים על מאות אנשים שנהרגים במשך שנה. אומנם, על-פי נתוני הרשות הלאומית לבטיחות בדרכים היתה בחצי השנה האחרונה ירידה של למעלה מ=%25 במספר ההרוגים לעומת השנה הקודמת, ויש גם ירידה במספר הפצועים, אבל עדיין מדובר במאות הרוגים. אנחנו מדברים על תאונות של אוטובוסים, משאיות, נהגי קטנועים, תאונות בנסיעה לאחור, תאונות בעת חציית כבישים, תאונות של ילדים רוכבי אופניים, ותקצר היריעה מלפרט את כל סוגי התאונות. אדוני היושב-ראש, מדאיגה אותי במיוחד המעורבות של צעירים בתאונות דרכים - אותם צעירים שנוסעים במכוניות שלהם בלילות שבת, כמו שאומרים: ככה, בשביל הסבאבה והכיף, כשמוזיקה מחרישת אוזניים בדציבלים שקורעים את עור התוף בוקעת מהמכוניות. זו מוזיקה חזקה במיוחד שמסיחה את הריכוז, ובתוך שבריר שנייה, בהיסח הדעת או מחוסר מיומנות, נגרמת תאונה. פעמים רבות אותם צעירים גם אינם חגורים בחגורות בטיחות, ובעיקר הם עושים תחרויות מירוצים בכבישים עם נהגים אחרים מי ""קורע"" יותר מהר את הכביש. אדוני היושב-ראש, אני מודאגת כי נהיגתם הופכת יותר ויותר מסוכנת להם וגם לנהגים אחרים. בעניין הזה אני רוצה לומר במאמר מוסגר, שהגשתי הצעת חוק להגבלת הווליום המותר בנסיעה במכונית - הגבלת הווליום של המוזיקה - כדי שאותה מוזיקה לא תיהפך לחרב פיפיות. ואז, נשאלת שאלת מיליון הדולר: איך מתמודדים עם תאונות דרכים, כשאין בהכרח זהות בין תאונות דרכים לעבריינות תנועה? מומחים טוענים, שעם עבריינות תנועה ניתן להתמודד על-ידי אכיפה, הרתעה וענישה. מחקר חדש של המשרד לביטחון פנים קובע, שלאכיפת חוקי התנועה בכבישים אין כל השפעה על מספר תאונות הדרכים הקטלניות. מבצעי האכיפה משפיעים רק על התאונות הלא-קטלניות, וגם זה רק לשבועות מספר. אדוני היושב-ראש, ברור לי שהטיפול בתאונות הדרכים צריך להתבצע בעיקרו באמצעות החינוך - -

אני מייד מסיימת. - - ותוך הגברת המודעות בקרב המבוגרים ובקרב בני הנוער. על כן, אדוני היושב-ראש, אני מציעה שהכנסת תיקח על עצמה את נושא הבטיחות בדרכים כנושא מוביל במושב הבא. נראה לי, שזה יסייע לשר התחבורה החדש בקידום נושאים שיבטיחו את הגברת הבטיחות. חברי חברי הכנסת, אני ממליצה להקים ועדה קבועה לבטיחות בדרכים. בדרך זו תבטא הכנסת את החשיבות שהיא מייחסת לנושא.",1
123010,"רצית לשבת עם יהדות התורה.

אתה היית מוכן לשבת עם אגודת ישראל.",1
123119,"אתה רוצה שאעשה זאת עכשיו, מעל הדוכן? אעשה את זה אחר כך אתך במסדרון.

חשבתי שאנחנו חברים באותה קואליציה, חבר הכנסת גפני.

נאלצנו לבלוע את זה, אבל אנחנו חברים באותה קואליציה.

אדוני היושב-ראש, חברי חברי הכנסת, חבר הכנסת גפני, אני מקווה שמה שאני הולכת לומר עכשיו יעניין אותך לא פחות מהשאלה הקודמת.

חבר הכנסת רובי ריבלין דיבר על ספרו המתוקשר של ראש השב""כ לשעבר, שבו הוא כתב וקבע, ששני חוקרי השב""כ היו האחראים היחידים - אני חוזרת ואומרת: האחראים היחידים למותו של שיח' עלי, עציר מעזה, בדצמבר 1989. והקרב, במרכאות, או שתרשו לי - שלא במרכאות, שמנהלים נגדו חוקרי השב""כ א' וש' על הוצאת דיבה, כי - אני מצטטת - לימדו אותנו לשקר לכולם, הקרב הזה חושף רק את קצה הקרחון של תרבות השקר, החיפוי והטיוח בחקירות השב""כ. ואני שואלת, אדוני היושב-ראש, האם תרבות זו של חיפוי, של טיוח, של תיאום עדויות בשב""כ עדיין נמשכת? הנושא, אדוני היושב-ראש וחבר הכנסת רובי ריבלין, אינו רק תביעת הדיבה של חוקרי השב""כ נגד הפרסומים בספרו של ראש השב""כ לשעבר. הנושא הוא מוות שנגרם במהלך חקירה, הנושא הוא מוות, הנושא הוא החוקרים והאחראים עליהם. להזכירכם, חברי וחברות הכנסת, שיח' עלי עונה למוות בדצמבר 1989. בחקירה הראשונה העידו אנשי השב""כ, כי העציר נחקר, ואני מצטטת: על-פי הנהלים. למשפחה נמסר ששיח' עלי מת מהתקף לב. רק בעקבות התעקשות המשפחה וארגוני זכויות אדם נפתחה חקירה, שבעקבותיה נידונו א' וש' לשישה חודשי מאסר. ואני לא מתעכבת כאן על השתלשלות האירועים שהובילה בסיכומו של דבר למאסר, כי זוהי סאגה בפני עצמה. ואני שואלת, אדוני היושב-ראש, בכמה מקרים נוספים חוקרי השב""כ טענו ל""על-פי הנהלים""? בכמה מקרים נוספים חוקרי השב""כ טענו ל""על-פי הנהלים"", אני חוזרת ושואלת. ואיך ייתכן שבמדינת ישראל נהלים של גוף שכפוף לממשלה מאפשרים מצב שבו אדם נכנס לחקירה על שתי רגליים ויוצא על אלונקה, יוצא מת, יוצא בארון מתים? חברי חברי הכנסת, על-פי נתוני ארגון ""בצלם"", ארגון שהיה לי הכבוד להיות המנכ""ל הראשון שלו, מתחילת האינתיפאדה ועד היום מתו במהלך חקירה תשעה פלסטינים; במהלך חקירה שבה שיטות החקירה נחשבות לעינויים על-פי כל אמת מידה. ומדינת ישראל חתומה על כל האמנות הבין-לאומיות שאוסרות אותן. השיטות הן מגוונות, ואתן לכם כמה דוגמאות: מדובר במניעת שינה מהנחקר לתקופות זמן ארוכות, מדובר באיומים, בקללות, בכבילה הדוקה ובתנוחות מכאיבות לתקופות זמן ממושכות. מטלטלים את הנחקר, מכים אותו, בועטים בו ומפעילים צורות אחרות ומגוונות של עינוי פיזי ונפשי.

תרשה לי, חבר הכנסת אלון; אני, דרך אגב, מתנגדת גם לחקירות כלפי יהודים, כלפי הימין הקיצוני.

מדובר בתשעה אנשים, מדובר בתשעה אנשים שמתו במהלך חקירה.

מדובר בתשעה אנשים שמתו במהלך חקירה.

על כל השיטות האלה מגוננים ומחפים גם באמצעות מינוח, אני רוצה לומר, לשון נקייה, קוראים לזה לחץ פיזי מתון, וגם על-ידי השקרים והחיפוי בתוך המערכת, שכבר נחשפו בוועדת חקירה אחת, והזכיר אותה חבר הכנסת רובי ריבלין. השופט לנדוי קבע בשנת 1987, שאנשי השב""כ שיקרו בעדויותיהם בבתי-המשפט בדבר שימוש בכוח לשם גביית עדויות. הם שיקרו באופן שיטתי ולאורך שנים. אבל הוא גם אמר, שהוא מוותר על העמדה לדין של אנשי השב""כ שהיו אשמים בעינויים, בחיפוי, בטיוח ובמתן עדות שקר, כי הוא השתכנע שנפתח דף חדש בשב""כ, והמקרים האלה הם נחלת העבר. אני שואלת, אדוני היושב-ראש, האומנם ""טאבולה ראזה"" בשב""כ? על-פי עדויותיהם של א' וש' מסתבר שלא, הלקח לא נלמד. והמסקנה שאני מגיעה אליה היא מסקנה אחת: לא ניתן לוותר על מיצוי הדין. מהקרב בין א' וש' לבין ראש השב""כ לשעבר עולה, כי מעשים כאלה מתרחשים, תשעה אנשים מתו במהלך חקירה. חבר הכנסת אלון, אני מתנגדת לחקירה כזאת, לשיטות כאלה, גם כלפי עצירים יהודים וגם כלפי עצירים פלסטינים, והבעתי את דעתי בעניין זה לא אחת. מדובר על תשעה אנשים שמתו במהלך חקירה. ולכן, זוהי חובה חוקית ומוסרית של ממשלת ישראל לבדוק ולשים לכך קץ. ואסור לנו להסתפק בהבטחות שהופקו לקחים. אדוני היושב-ראש, אני מסיימת: אני קוראת מעל הדוכן הזה לראש הממשלה ושר הביטחון ולשר המשפטים לפתוח בחקירה מקיפה, ממצה ובלתי תלויה, שהרי, כדברי השופט ברנדס, אין חומר חיטוי טוב יותר מאור השמש.

השאלה היא לא הכיבוש, השאלה היא המוות בחקירות.",1
123153,"יש לך בעיה עם זה, נדמה לי. אין מועמד טוב וראוי ממנו.

זה השינוי של ממשלת ישראל.",3
123196,"יש לך בעיה עם זה, נדמה לי. אין מועמד טוב וראוי ממנו.

זה השינוי של ממשלת ישראל.

- - - כפרים ערביים - - -",2
123241,"אדוני היושב-ראש, אדוני השר, חברי חברי הכנסת, לחברי ולי בסיעת מרצ קשה עם שינוי חוק-יסוד, ולמרות זאת אנחנו מחויבים להסכם הקואליציוני ולכן אנחנו תומכים בהרחבת הממשלה; ממשלה שעל-פי קווי היסוד והצהרת הכוונות של מי שעומד בראשה הולכת למהלכים מדיניים קרדינליים, והאיתות הראשון לכך ניתן במסע הדילוגים בין ערפאת למובארק ולנשיא קלינטון.

זה מעיד על תחילתו של עידן חדש, עידן של הידברות אמיתית, של פיוס ושלום. ולכן, אדוני היושב-ראש, אנחנו בסיעת מרצ חושבים שיש צידוק לממשלה רחבה. עם זאת, חבר הכנסת לנדאו, אני חייבת להודות שקשה לי. קשה לי היעדרן של נשים משולחן הממשלה והיעדרה של נציגות ערבית - היעדרה של נציגות של אזרחי ישראל הערבים. אני אומנם אתמוך בהרחבת הממשלה, אך אני אומרת לכם, חברי חברי הכנסת, שאני עושה את זה בלב כבד. קשה לי לנוכח התת-ייצוג של נשים בממשלה. אני שואלת: שרה אחת מתוך 18 שרים? שרה אחת אולי מתוך 24 שרים? אף לא סגנית שר? אדוני היושב-ראש, אני שואלת: האם בממשלה הזאת הביולוגיה קובעת את הכיסאולוגיה? אדוני היושב-ראש. ראש הממשלה הבטיח שינוי למדינת ישראל, אך שינוי שלא מביא בחשבון %52 מהאוכלוסייה אינו יכול להיחשב כשינוי. אני חושבת שלא מאוחר, עדיין אני פונה לראש הממשלה לתקן את המעוות. הדאגה לייצוג של נשים בממשלה אינה אינטרס של נשים בלבד, והדבר הזה חייב לעמוד בראש מעייניו של ראש הממשלה. ומכיוון שעדיין לא מאוחר, אני קוראת לראש הממשלה לתקן את המעוות ולשבץ שלוש נשים בממשלה בראשותו.",1
123329,"חבר הכנסת סילבן שלום - - -

חבר הכנסת סילבן שלום, לא יכולת להגיד שמדינה פלסטינית כבר קמה? איפה - - -?

אדוני היושב-ראש, אדוני השר, חברי חברי הכנסת, אני, בניגוד לחבר הכנסת סילבן שלום, רוצה לברך את ראש הממשלה על מסע הדילוגים שלו. אחרי שלוש שנים מבוזבזות של חשדנות ואי-אמון, הגיע הזמן למסע דילוגים בוני אמון. הייתי אומרת, שנוצר מומנטום. נוצרה ציפייה למשא-ומתן אינטנסיבי, שצריך, לטעמי, להתנהל בשני מסלולים מקבילים: במסלול הפלסטיני ובמסלול הסורי-הלבנוני. קראתי בעיתון, או כך דווח, שערפאת, כמו מובארק, הסכים לתת לראש הממשלה ארכה של חודשיים עד לגיבוש המדיניות הישראלית. עכשיו אני לא רוצה להיכנס בדברי לשאלה איך ייושם הסכם-וואי, והאם תשלים ישראל את הפעימות השנייה והשלישית כפי שסוכם, או שהפעימה השלישית תתבצע בסמוך לתחילת השיחות על הסדרי הקבע. כל עוד הדבר ייעשה בהסכמה, בהבנה ומתוך נכונות של שני הצדדים - אני לא רוצה להיכנס לזה. אבל, מה שכן חשוב לי לציין הוא, שבחודשיים האלה ראש הממשלה צריך, במקביל לגיבוש המהלכים המדיניים, לעצור מייד כל בנייה בהתנחלויות ולפרק את המאחזים שנבנו וגדלו בשנה האחרונה משישה ל-42 בתקופת הממשלה הקודמת. אין דבר כזה יותר: הרחבת התנחלויות. היום שמעתי, שבעקבות הפגישה של אנשי יש""ע עם ראש הממשלה דובר על תיאום בניית מאחזים. זה בלשון המתנחלים - מהיום. אני קוראת לראש הממשלה, רבותי השרים, לבטל את הדבר הזה. מדיניות המערב הפרוע בהתנחלויות בתקופת הממשלה הזאת חייבת להיפסק. אדוני שר החוץ, שמעתי בימים האחרונים שאתה עושה ניסיונות גדולים - אתה וחברי הממשלה - כדי לבטל את ועידת המדינות החתומות על אמנת ז'נבה הרביעית, שאמורה להתכנס בשווייץ - נדמה לי מחרתיים - כדי לדון בהפרות הישראליות של זכויות האדם בשטחים. שמעתי גם את ההתבטאות של היועץ המשפטי לממשלה, מר אליקים רובינשטיין, שהביע דאגה שבוועידה הזאת יעלו נושאים כמו מדיניות המעצרים המינהליים, הסגר, העוצר, חקירות השב""כ, ההתנחלויות, ומר רובינשטיין - - -

אני מייד מסיימת. - - - ומר רובינשטיין הביע חשש, שהקהילה הבין-לאומית עלולה לאכוף את דיני המלחמה נגד ישראל. אדוני השר, במקום לעסוק במאמצים לביטול הוועידה, הייתי אומרת שכדאי לעסוק במאמצים לביטול הפרות זכויות האדם בשטחים. אי-אפשר לדבר בנשימה אחת על שלום ובאותה עת להמשיך להטיל סגר, להחרים תעודות זהות. אני רוצה להציע שתי הצעות קצרות, ברשותך, אדוני היושב-ראש. לטעמי, יש שני נושאים שאם תעסקו בהם עכשיו, או אם תפסיקו אותם עכשיו, זה ייצור רושם בציבור הישראלי, ובעיקר בציבור הפלסטיני. הנושא הראשון - להפסיק מייד את מדיניות הריסות הבתים. להפסיק אותה מייד. גם נתניהו, בהסכם-וואי, הסכים להפסיק את ביצוע הריסות הבתים שנבנו עד הסכם-וואי. והנושא השני - ובזה אני מסיימת - להפסיק מייד את המעצרים המינהליים. בשבוע שעבר ביקרתי את אוסאמה ברהם בכלא. עציר מינהלי במדינת ישראל, שש שנים ללא משפט. אני חושבת, שאם מדברים על צעדים בוני אמון ועל בניית תהליך שלום, יהיה זה צעד קטן בכיוון תהליך השלום. שחררו את אוסאמה ברהם מכלאו. תודה רבה.",5
